passage_id,cn,vn,en
H1_6_6,这个汉字怎么读，怎么写？,"Chữ Hán này đọc như thế nào, viết như thế nào?",How do you read and write this Chinese character?
H1_6_7,这个汉字我会读，不会写。,"Chữ Hán này tôi biết đọc, không biết viết.","I can read this Chinese character, but I can't write it."
H1_6_8,这个菜好吃，那个菜不好吃。,"Món ăn này ngon, món ăn kia không ngon.","This dish is delicious, that dish is not delicious."
H1_6_9,我的好朋友是中国人，他会说中文。,"Người bạn tốt (bạn thân) của tôi là người Trung Quốc, anh ấy biết nói tiếng Trung.","My good friend is Chinese, he can speak Chinese."
H1_6_10,你会写汉字吗？,Bạn biết viết chữ Hán không?,Can you write Chinese characters?
H1_6_11,我同学会说中文，他的中文很好。,"Bạn học của tôi biết nói tiếng Trung, tiếng Trung của anh ấy rất tốt.","My classmate can speak Chinese, his Chinese is very good."
H1_6_12,听说中国菜很好吃。,Nghe nói đồ ăn Trung Quốc rất ngon.,I heard that Chinese food is delicious.
H1_7_1,今天星期几？,Hôm nay là thứ mấy?,What day is it today?
H1_7_2,请问，今天星期二吗？,"Xin hỏi, hôm nay có phải thứ ba không?","Excuse me, is it Tuesday today?"
H1_7_3,今天星期六，我去学校。,"Hôm nay thứ bảy, tôi đi đến trường học.","Today is Saturday, I am going to school."
H1_7_4,你去哪里？,Bạn đi đâu?,Where are you going?
H1_7_5,明天星期六，我去朋友家吃中国菜。,"Ngày mai thứ bảy , tôi đến nhà một người bạn để ăn món ăn Trung Quốc.","Tomorrow is Saturday, I am going to a friend's house to eat Chinese food."
H1_7_6,今天是几月几号？,Hôm nay là ngày mấy tháng mấy?,What is the date today?
H1_7_7,今天是十二月三十一号。,Hôm nay là ngày 31 tháng 12.,Today is December 31st.
H1_7_8,昨天是十一月二十九号，星期日。,Hôm qua là chủ nhật ngày 29 tháng 11.,"Yesterday was November 29th, Sunday."
H1_7_9,二十一号是星期几？,Ngày hai mươi mốt là thứ mấy?,What day of the week is the 21st?
H1_7_10,明天是星期一，你做什么？,"Ngày mai là thứ hai, bạn làm cái gì?","Tomorrow is Monday, what are you doing?"
H1_7_11,明天星期日，我去同学家看书。,"Ngày mai chủ nhật, tôi đến nhà bạn học của tôi để đọc sách.","Tomorrow is Sunday, I am going to my classmate's house to read."
H1_7_12,我们明天见。,Chúng ta ngày mai gặp nhé.,See you tomorrow.
H1_7_13,明天星期六，我去火车站买票。,"Ngày mai thứ bảy, tôi đến ga tàu lửa để mua vé.","Tomorrow is Saturday, I am going to the train station to buy a ticket."
H1_8_1,这个菜多少钱，那个菜多少钱？,"Món ăn này bao nhiêu tiền, món ăn kia bao nhiêu tiền?","How much is this dish, and how much is that dish?"
H1_8_2,你想吃什么？,Bạn muốn ăn cái gì?,What do you want to eat?
H1_8_3,你想买什么？我想买一个杯子。,Bạn muốn mua cái gì? Tôi muốn mua một cái cốc/cái ly.,What do you want to buy? I want to buy a cup.
H1_8_4,这个杯子很好看，多少钱？,"Cái cốc này rất đẹp, bao nhiêu tiền?","This cup is very nice, how much is it?"
H1_8_5,我很喜欢中国菜，明天星期六，我们去吃中国菜吧。,"Tôi rất thích đồ ăn Trung Quốc, ngày mai thứ bảy, chúng ta đi ăn đồ ăn Trung Quốc nhé.","I really like Chinese food. Tomorrow is Saturday, let's go eat Chinese food."
H1_8_6,你想喝什么？我想喝茶。,Bạn muốn uống gì? Tôi muốn uống trà.,What do you want to drink? I want to drink tea.
H1_8_7,明天是星期一，你想做什么？,"Ngày mai là thứ hai, bạn muốn làm gì?","Tomorrow is Monday, what do you want to do?"
H1_8_8,我昨天下午去商店买两个杯子。,Chiều hôm qua tôi đã đến cửa hàng để mua hai cái cốc.,I went to the store yesterday afternoon to buy two cups.
H1_8_9,下午你想去哪儿？,Buổi chiều bạn muốn đi đâu?,Where do you want to go in the afternoon?
H1_8_10,中午你想吃什么？我不喜欢吃中国菜，我想吃米饭。,"Buổi trưa bạn muốn ăn gì? Tôi không thích đồ ăn Trung Quốc, tôi muốn ăn cơm.","What do you want to eat for lunch? I don't like Chinese food, I want to eat rice."
H1_8_11,您好，您喝茶吗？,"Xin chào ngài, ngài có uống trà không?","Hello, would you like some tea?"
H1_9_1,爸爸在家吗？,Bố có ở nhà không?,Is dad at home?
H1_9_2,你儿子几岁了？他今年两岁了。,Con trai bạn mấy tuổi rồi? Anh ấy năm nay hai tuổi.,How old is your son? He is two years old this year.
H1_9_3,你爸爸妈妈不在家。他们在哪儿呢？,Cha mẹ bạn không có ở nhà. Họ ở đâu thế?,Your mom and dad are not home. Where are they?
H1_9_4,我儿子在医院工作，他是医生。,"Con trai tôi làm việc trong một bệnh viện, anh ấy là bác sĩ.","My son works at a hospital, he is a doctor."
H1_9_5,你朋友是职员，他在哪儿工作？,"Bạn của bạn là nhân viên văn phòng, anh ấy làm việc ở đâu?","Your friend is an office worker, where does he work?"
H1_9_6,小狗不在椅子下面，小狗在哪儿呢？,"Chó con không ở dưới cái ghế, chó con ở đâu?","The puppy is not under the chair, where is the puppy?"
H1_9_7,她儿子在中国，她女儿在美国。,"Con trai cô ấy ở Trung Quốc, con gái cô ấy ở Mỹ.","Her son is in China, her daughter is in the United States."
H1_9_8,爸爸下午去银行。,Buổi chiều ba đi đến ngân hàng.,Dad is going to the bank in the afternoon.
H1_9_9,小猫不在家里。不在椅子下面，在哪儿呢？,"Con mèo con không ở trong nhà, không ở dưới cái ghế, ở đâu thế?","The kitten is not at home. It's not under the chair, where is it?"
H1_9_10,你的公司在哪儿？,Công ty của bạn ở đâu?,Where is your company?
H1_9_11,你爸爸做什么工作？,Ba của bạn làm công việc gì?,What does your dad do for work?
H1_9_12,你同学是我朋友。她在哪儿工作？,Bạn học của bạn là bạn của tôi. Cô ấy làm việc ở đâu?,Your classmate is my friend. Where does she work?
H1_10_1,请问，这儿有人吗？,"Xin hỏi, chỗ này có người không?","Excuse me, is this seat taken?"
H1_10_2,小猫在桌子上。,Mèo con ở trên bàn.,The kitten is on the table.
H1_10_3,桌子上有一本书，一个杯子和一个电脑。,"Trên bàn có một cuốn sách, một cái cốc/cái ly và một máy tính.","On the table, there is a book, a cup, and a computer."
H1_10_4,我前面的人是我同学，我后面的人是我朋友。,"Người phía trước tôi là bạn học của tôi, người phía sau tôi là bạn bè của tôi.","The person in front of me is my classmate, the person behind me is my friend."
H1_10_5,你好，我能坐这儿吗？,"Xin chào, tôi có thể ngồi đây được không?","Hello, can I sit here?"
H1_10_6,请问，现在几点？,"Xin hỏi, bây giờ mấy giờ?","Excuse me, what time is it now?"
H1_10_7,现在不是九点十分，是十五分。,"Bây giờ không phải chín giờ mười phút, là mười lăm phút.","It's not 9:10, it's 9:15."
H1_10_8,你明天几点去银行？,Bạn mấy giờ ngày mai đến ngân hàng?,What time are you going to the bank tomorrow?
H1_10_9,我上午九点三十分去医院。,Tôi 9 giờ 30 phút sáng đến bệnh viện.,I am going to the hospital at 9:30 in the morning.
H1_10_10,你爸爸什么时候去北京？住几天？,Khi nào bố bạn sẽ đến Bắc Kinh? Ở mấy ngày?,When is your dad going to Beijing? How many days will he stay?
H1_10_11,后面那个人是我朋友，我们星期五去他家看书。,Khi nào bố bạn sẽ đến Bắc Kinh? Ở mấy ngày?,"That person behind is my friend, we are going to his house to read on Friday."
H1_10_12,昨天中午我去银行。,Tôi đến ngân hàng vào trưa hôm qua.,I went to the bank yesterday at noon.
H1_10_13,明天星期日，我们去看电影吧。,"Ngày mai chủ nhật, chúng ta đi xem phim nhé.","Tomorrow is Sunday, let's go watch a movie."
H1_10_14,我儿子去学校了，五点回来。,"Con trai tôi đi đến trường học rồi, năm giờ trở về.","My son went to school, he will be back at five."
H1_10_15,我想买一个桌子，一个椅子，一个电脑，一个杯子和一本书。,"Tôi muốn mua một cái bàn, một cái ghế, một cái máy vi tính, một cái cốc/cái ly và một cuốn sách.","I want to buy a table, a chair, a computer, a cup, and a book."
H1_11_1,喂，我在你家了。你在哪儿？,"Alo, tôi đang ở nhà bạn rồi. Bạn ở đâu?","Hello, I'm at your house. Where are you?"
H1_11_2,今天天气很好，我们去看电影吧。,"Hôm nay thời tiết rất tốt, chúng ta đi xem phim nhé.","The weather is great today, let's go watch a movie."
H1_11_3,王小姐什么时候来我们家吃饭？,Khi nào cô Vương đến nhà chúng ta ăn cơm?,When is Miss Wang coming to our house for dinner?
H1_11_4,王小姐身体不好，现在在医院。我们去看看她吧。,"Cô Vương sức khỏe không tốt, hiện tại đang ở bệnh viện. Chúng ta hãy đi thăm cô ấy.","Miss Wang is not feeling well, she is in the hospital now. Let's go visit her."
H1_11_5,王小姐八点前会来，我买了一些水果。,"Cô Vương sẽ đến đây trước tám giờ, tôi đã mua một ít trái cây.","Miss Wang will come before 8 o'clock, I bought some fruit."
H1_11_6,我儿子很喜欢吃苹果，我明天中午去买一些。,"Con trai tôi rất thích ăn táo, trưa mai tôi sẽ đi mua một ít.","My son loves to eat apples, I will go buy some tomorrow at noon."
H1_11_7,你的电话号码是多少？,Số điện thoại của bạn là bao nhiêu?,What is your phone number?
H1_11_8,我爸爸现在不在家，他中午回来。你中午打电话吧。,"Bố tôi hiện tại không có ở nhà, ông ấy sẽ trở về vào buổi trưa. Bạn gọi vào buổi trưa nhé.","My dad is not home right now, he will be back at noon. You can call him at noon."
H1_11_9,喂，你在做什么？在看电视吗？,"Alo, bạn đang làm gì thế? Đang xem tv à?","Hello, what are you doing? Are you watching TV?"
H1_11_10,请问，您找谁？,"Xin hỏi, ông/bà/ngài tìm ai?","Excuse me, who are you looking for?"
H1_11_11,我妈妈在睡觉呢。您是哪位？,Mẹ tôi đang ngủ. Ông là vị nào(ai)?,My mom is sleeping. Who is this?
H1_11_12,我的电话是。你明天给我打电话吧。,Số điện thoại của tôi là. Bạn gọi điện thoại cho tôi vào ngày mai nhé.,My phone number is. Call me tomorrow.
H1_11_13,听说你爸爸身体不好。,Nghe nói sức khỏe của bố bạn không được tốt.,I heard your dad is not feeling well.
H1_11_14,明天天气怎么样？来我家做中国菜吧。,Thời tiết ngày mai thế nào? Đến nhà tôi nấu món ăn Trung Quốc.,How is the weather tomorrow? Come to my house to cook Chinese food.
H1_11_15,我不喜欢看电视，我喜欢看电影。,"Tôi không thích xem TV, tôi thích xem phim.","I don't like watching TV, I like watching movies."
H1_11_16,中午有人给你打电话。,Có người gọi điện cho bạn vào buổi trưa.,Someone called you at noon.
H1_11_17,医生说多喝水，多吃水果。,"Bác sĩ nói uống thêm nước, ăn thêm trái cây.",The doctor said to drink more water and eat more fruit.
H1_12_1,你看见李先生吗？,Bạn nhìn thấy ông Lý không?,Have you seen Mr. Li?
H1_12_2,爸爸和同事开车去饭店了。,Bố và đồng nghiệp lái xe đi đến nhà hàng rồi.,Dad and his colleague drove to the restaurant.
H1_12_3,这些衣服很漂亮。你买吗？,Những quần áo này rất đẹp. Bạn mua hay không?,These clothes are very beautiful. Are you buying them?
H1_12_4,妈妈给我买了很多东西，我很高兴。,"Mẹ tôi đã mua cho tôi rất nhiều đồ, tôi rất vui.","Mom bought me a lot of things, I am very happy."
H1_12_5,很高兴认识您。认识您我也很高兴。,Rất vui được quen biết ngài. Tôi cũng rất vui được biết ngài.,Nice to meet you. Nice to meet you too.
H1_12_6,听说，您是坐飞机来北京的。,"Nghe nói, bạn đến Bắc Kinh bằng máy bay.",I heard you came to Beijing by plane.
H1_12_7,你认识李老师吗？她昨天来我家。,Bạn có biết cô giáo Lý không? Cô ấy đến nhà tôi hôm qua.,Do you know Teacher Li? She came to my house yesterday.
H1_12_8,我们是二零一八年认识的，我们是同学，不是同事。,"Chúng tôi quen biết nhau vào năm 2018, chúng tôi là bạn học, không phải đồng nghiệp.","We met in 2018, we are classmates, not colleagues."
H1_12_9,我是在饭店认识王先生的。你怎么认识他？,Tôi biết anh Vương ở khách sạn. Bạn biết anh ấy như thế nào?,I met Mr. Wang at a restaurant. How do you know him?
H1_12_10,王老师去饭店了。四十分钟后能回来。,Cô giáo Vương đi đến nhà hàng rồi. Có thể quay lại sau bốn mươi phút.,Teacher Wang went to the restaurant. He can be back in 40 minutes.
H1_12_11,我妈妈喜欢吃水果。我爸爸给她买了一些苹果。,Mẹ tôi thích ăn trái cây. Bố tôi đã mua cho cô ấy một ít táo.,My mom likes to eat fruit. My dad bought her some apples.
H1_12_12,衣服太漂亮了，谢谢你。不客气。,"Áo quần rất đẹp, cảm ơn bạn. Đừng khách khí.","The clothes are so beautiful, thank you. You're welcome."
H1_12_13,王小姐什么时候来中国。王小姐今年三月来中国。,Khi nào cô Vương sẽ đến Trung Quốc? Cô Vương sẽ đến Trung Quốc vào tháng 3 năm nay.,When is Miss Wang coming to China? Miss Wang is coming to China this March.
H1_12_14,对不起，王医生今天不能来医院了。,"Xin lỗi, bác sĩ Vương không thể đến bệnh viện hôm nay.","Sorry, Dr. Wang cannot come to the hospital today."
H1_12_15,后面有椅子，你坐吗？不了，谢谢，在后面听不见。,"Phía sau có ghế, bạn ngồi không? Không, cảm ơn, ở phía sau nghe không được.","There are chairs in the back, would you like to sit? No, thank you, I can't hear from the back."
H1_12_16,喂，我在出租车上，十分钟后火车站见。他们在哪儿见？,"Alo, tôi đang ở trên taxi, 10 phút sau gặp bạn xe lửa sau. Bọn họ gặp nhau ở đâu?","Hello, I'm in a taxi, see you at the train station in ten minutes. Where will they meet?"
H1_12_17,你为什么不开车去学校？我不想开，我觉得坐出租车很好。,"Tại sao bạn không lái xe đi đến trường? Tôi không muốn lái, tôi cho rằng đi xe taxi rất tốt.","Why don't you drive to school? I don't want to drive, I think taking a taxi is good."
H2_1_1,什么时候去北京旅游最好？九月和十月北京天气最好，你九月去吧。,"Khi nào đi du lịch Bắc Kinh tốt nhất? Thời tiết Bắc Kinh tháng 9 và tháng 10 đẹp nhất, bạn đi tháng 9 đi.","When is the best time to travel to Beijing? The weather in Beijing is best in September and October, you should go in September."
H2_1_2,下午我想去跑步，你去不去？我不想去跑步，我想去踢足球。,"Buổi chiều tôi muốn đi chạy bộ, bạn đi không? Tôi không muốn đi chạy bộ, tôi muốn đi đá bóng.","I want to go running this afternoon, are you going? I don't want to go running, I want to play soccer."
H2_1_3,我要买几件新衣服，你要不要去商店？,"Tôi muốn mua mấy bộ quần áo mới, bạn có muốn đi cửa hàng không?","I want to buy some new clothes, do you want to go to the store?"
H2_1_4,冬天的北京很冷，我什么时候去北京旅游最好？,"Bắc Kinh mùa đông rất lạnh, tôi khi nào đi du lịch Bắc Kinh tốt nhất?","Winter in Beijing is very cold, when is the best time for me to travel to Beijing?"
H2_1_5,这是我的小猫，它漂亮不漂亮？,"Đây là con mèo nhỏ của tôi, nó có đẹp không?","This is my kitten, is it pretty?"
H2_1_6,王小姐到了吗？我不知道。你问问我爸爸吧。,Cô Vương đến chưa? Tôi không biết. Bạn hỏi thử ba tôi xem.,Has Miss Wang arrived? I don't know. You should ask my dad.
H2_1_7,爸爸已经买了一本新书，它在桌子上。不是我的，我没买书。,"Ba đã mua một quyển sách mới, nó ở trên bàn. Không phải của tôi, tôi không mua sách.","Dad has already bought a new book, it's on the table. It's not mine, I didn't buy a book."
H2_1_8,我觉得它的眼睛最漂亮，她叫什么？,"Tôi cảm thấy đôi mắt của nó ấy là đẹp nhất, Nó gọi là gì vậy?","I think its eyes are the most beautiful, what is her name?"
H2_1_9,这是你的小猫吗？它叫什么？我不知道叫它什么呢。,Đây là con mèo nhỏ của bạn phải không? Nó gọi là gì vậy? Tôi không biết gọi nó là gì nữa.,Is this your kitten? What is its name? I don't know what to call it.
H2_1_10,你喜欢什么运动？我喜欢踢足球，下午我们一起去踢足球吧。,"Bạn thích môn thể thao nào? Tôi thích đá banh, buổi chiều chúng ta cùng nhau đi đá banh nha.","What sports do you like? I like to play soccer, let's go play soccer together this afternoon."
H2_1_11,我妈妈不喜欢跑步，也不喜欢运动。她喜欢在家睡觉。,"Mẹ của tôi không thích chạy bộ, cũng không thích vận động. Cô ấy thích ở nhà ngủ.",My mom doesn't like running or exercising. She likes to sleep at home.
H2_1_12,我想买一个新桌子，你觉得买哪个最好？,"Tôi muốn mua một cái bàn mới, bạn cảm thấy mua cái nào tốt nhất?","I want to buy a new table, which one do you think is the best to buy?"
H2_1_13,一月几号去上海旅游最好？,Ngày mấy tháng một đi du lịch Thượng Hải tốt nhất?,What date in January is the best to travel to Shanghai?
H2_1_14,我要给女儿买几件新衣服，你觉得哪件好看。,"Tôi muốn mua cho con gái vài bộ quần áo mới, bạn nghĩ rằng cái nào đẹp.","I want to buy some new clothes for my daughter, which one do you think looks good."
H2_1_15,丽丽什么时候能到，现在太晚了。,"Lili khi nào có thể đến, bây giờ quá trễ/muộn rồi.","When can Lili arrive, it's too late now."
H2_2_1,起床了吗？我今天早上六点起床了。,Ngủ dậy chưa? Tôi 6 giờ sáng nay đã thức dậy rồi.,Are you up? I got up at six this morning.
H2_2_2,爸爸每天工作很忙，星期天也不休息。,"Công việc hằng ngày của ba đều rất bận, chủ nhật cũng không nghỉ ngơi.","Dad is very busy with work every day, he doesn't even rest on Sundays."
H2_2_3,我每天下午和同学一起踢足球。,Tôi mỗi buổi chiều cùng với bạn học đi đá banh.,I play soccer with my classmates every afternoon.
H2_2_4,你怎么来了这么早。是不是开车来的吗？,"Bạn tại sao đến sớm như vậy, có phải lái xe đến không?",How did you get here so early? Did you drive here?
H2_2_5,明天下午你有时间吗？我们去看电影吧。对不起，我忙了，星期天吧。,"Chiều ngày mai bạn có thời gian không? Chúng ta đi xem phim đi. Xin lỗi, tôi bận rồi, chủ nhật nhé.","Are you free tomorrow afternoon? Let's go watch a movie. Sorry, I'm busy, how about Sunday."
H2_2_6,我爸爸生病了，我现在给他买一些药。,"Bố tôi bệnh rồi, tôi bây giờ mua một ít thuốc cho ông ấy.","My dad is sick, I'm going to buy him some medicine now."
H2_2_7,那个女的是我的闺蜜。她的身高是一米六五。,Người con gái kia là bạn thân của tôi. Chiều cao của cô ấy là 1m65.,That girl is my best friend. Her height is 165 cm.
H2_2_8,你的妈妈在做什么？我妈妈在做晚饭。她一个人做晚饭，太累了。,"Mẹ của bạn đang làm gì vậy? Mẹ của tôi đang nấu cơm tối. Cô ấy nấu cơm tối một mình, quá mệt rồi.","What is your mom doing? My mom is making dinner. She's making dinner by herself, it's too tiring."
H2_2_9,你累不累。休息一下吧，喝点儿水吧。,"Bạn mệt không? Nghỉ ngơi một chút đi, uống chút nước đi.","Are you tired? Take a rest, have some water."
H2_2_10,这是一个星期的药，你出院后，每天早上吃。,"Đây là thuốc của một tuần, sau khi xuất viện, uống thuốc vào mỗi buổi sáng.","This is a week's worth of medicine, after you leave the hospital, take it every morning."
H2_2_11,我儿子最近很忙，每天回来很晚。我觉得他会很累。,"Con trai của tôi gần đây rất bận, mỗi ngày trở về rất muộn. Tôi nghĩ rằng anh ấy sẽ rất mệt mỏi.","My son has been very busy recently, he comes back very late every day. I think he must be very tired."
H2_2_12,妈妈不喜欢住院，她只想吃一些药。,"Mẹ không thích nhập viện, cô ấy chỉ muốn uống một ít thuốc.","Mom doesn't like to be hospitalized, she just wants to take some medicine."
H2_2_13,我每天早上七点前起床了，最近工作忙，不能早起。,"Tôi mỗi ngày thức dậy trước 7 giờ sáng, gần đây công việc bận rộn, không thể dậy sớm.","I used to get up before 7 every morning, but recently I've been busy with work and can't get up early."
H2_2_14,你多高？有一米八几吗？没有，我只有一米七八。,"Bạn cao bao nhiêu? 1m80 mấy không? Không có, tôi chỉ có 1m78.","How tall are you? Are you over 180cm? No, I'm only 178cm."
H2_2_15,晚饭是谁做的？是我做的，妈妈生病了。,"Ai đã nấu cơm tối? Là tôi nấu đó, mẹ bệnh rồi.","Who made dinner? I did, mom is sick."
H2_3_1,我想买一件新衣服。这件红色的怎么样？,Tôi muốn mua một bộ quần áo mới. Cái màu đỏ này như thế nào?,I want to buy a new piece of clothing. How about this red one?
H2_3_2,早饭做好了。你和哥哥快来吃饭吧。,Bữa sáng nấu xong rồi. Bạn và anh trai nhanh đến ăn cơm đi.,Breakfast is ready. You and your brother come and eat.
H2_3_3,外边很冷，儿子为什么在外边玩儿呢？,"Bên ngoài rất lạnh, con trai tại sao chơi ở bên ngoài vậy?","It's cold outside, why is my son playing outside?"
H2_3_4,我想给王老师买一块手表。这个白的一千多块，您看一下。,"Tôi muốn mua cho giáo viên Vương một chiếc đồng hồ đeo tay. Cái màu trắng này hơn 1000 đồng, ông xem thử.","I want to buy a watch for Teacher Wang. This white one is over a thousand yuan, please take a look."
H2_3_5,这是谁的房间？这是我爸爸妈妈的房间。,Đây là phòng của ai vậy? Đây là phòng của ba mẹ tôi.,Whose room is this? This is my mom and dad's room.
H2_3_6,旁边那个房间是你女儿的吗？是。我女儿最喜欢粉色。,Cái phòng bên cạnh kia là của con gái bạn phải không? Phải. Con gái tôi thích nhất màu hồng.,Is the room next to this your daughter's? Yes. My daughter's favorite color is pink.
H2_3_7,我每天骑车去学校。我不想开车。,Tôi mỗi ngày đạp xe đến trường. Tôi không muốn lái xe hơi.,I ride my bike to school every day. I don't want to drive.
H2_3_8,我想买一个杯子。这里有几个杯子，红的，白的，粉的。你喜欢哪一个。,"Tôi muốn mua một cái ly. Ở đây có mấy/vài cái ly? Có màu đỏ, màu trắng, màu hồng. Bạn thích cái nào?","I want to buy a cup. There are a few cups here, red, white, and pink. Which one do you like?"
H2_3_9,这个粉色的衣服多少钱。真好看。我想给妈妈买一件。,Bộ quần áo màu hồng này bao nhiêu tiền? Thật đẹp mắt. Tôi muốn mua cho mẹ một bộ.,How much is this pink dress? It's so beautiful. I want to buy one for my mom.
H2_3_10,请问。这本书多少钱？这本书一百块钱。很好看。,"Xin hỏi, quyển sách này bao nhiêu tiền? Quyển sách này 100 đồng, đọc rất hay.",Excuse me. How much is this book? This book is one hundred yuan. It's very nice.
H2_3_11,今天早上送牛奶的来了吗？我不知道，你看看外边有没有牛奶。,"Người giao sữa bò sáng nay đến chưa? Tôi không biết, bạn xem thử bên ngoài có sữa bò không?","Did the milk delivery person come this morning? I don't know, you can check outside if there's any milk."
H2_3_12,这是今天早上的报纸吗？不是，是昨天的。,"Đây là báo của sáng nay phải không? Không phải, là của hôm qua.","Is this this morning's newspaper? No, it's yesterday's."
H2_3_13,昨天我爸爸给我买了一块手表，两百块的。你看一下。,"Hôm qua ba của tôi mua cho tôi một chiếc đồng hồ, 200 đồng. Bạn xem thử đi.","Yesterday my dad bought me a watch, it was two hundred yuan. Take a look."
H2_3_14,右边这个红色的一千多块。左边那个白色的一百多块。,Chiếc màu đỏ bên phải là hơn 1000 đồng. Chiếc màu trắng bên trái hơn 100 đồng.,The red one on the right is over a thousand yuan. The white one on the left is over a hundred yuan.
H2_3_15,爸爸在房间里看报纸，妈妈在做午饭。,"Ba ở trong phòng xem báo, mẹ đang nấu cơm trưa.","Dad is reading the newspaper in the room, mom is making lunch."
